,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
0,86.74,8.4,5.7,5.57,6.7,6.51,34.0,8.666666666666666,8.11,6.0,1.0219123505976095,1.08,1.28,2.24,1.72,2.08,0.0,0.72,1.12,0.04,2.24,0.2,0.96,2.4,0.96,0.08,0.6,0.0,2.44,0.0,1.0,B2,3
1,67.59,10.6,8.9,9.57,10.9,7.99,111.0,8.666666666666666,10.92,11.0,1.7038567493112948,0.6060606060606061,1.55,2.18,1.21,1.27,0.0,0.7,2.12,0.0,3.94,0.42,1.24,1.76,0.36,0.42,0.55,0.0,3.24,0.0,1.0,B2,3
2,71.14,8.8,7.6,8.35,8.5,8.06,35.0,7.428571428571429,8.65,9.0,1.5118110236220472,1.8571428571428572,1.36,2.07,0.5,0.57,0.0,0.43,2.57,0.0,3.0,0.43,0.71,0.71,2.57,0.0,0.29,0.0,2.0,0.0,0.93,B2,3
3,53.1,13.1,10.3,10.15,10.4,9.11,62.0,10.666666666666666,11.93,10.0,1.3302752293577982,1.3529411764705883,1.29,2.12,0.41,1.12,0.0,0.65,2.76,0.0,3.82,0.82,0.53,0.76,1.88,0.0,0.24,0.06,1.82,0.0,0.94,B2,3
4,60.85,10.9,9.4,10.15,10.6,9.66,71.0,12.8,10.1,11.0,1.3629242819843341,2.526315789473684,1.11,1.95,0.32,1.16,0.0,0.68,2.11,0.0,3.74,0.32,0.37,0.63,4.32,0.0,0.37,0.0,2.11,0.0,1.0,B2,3
5,71.95,10.3,7.2,8.93,8.5,6.66,30.0,10.5,8.53,9.0,1.0480769230769231,0.05555555555555555,0.61,1.5,1.17,1.39,0.0,0.78,2.28,0.0,4.17,0.06,0.5,1.22,0.28,0.0,0.22,0.0,2.22,0.0,0.94,B2,3
6,60.95,11.0,9.4,10.56,11.0,8.97,133.0,12.4,10.13,11.0,1.432192648922687,2.3684210526315788,1.5,2.71,0.71,1.16,0.0,0.42,1.47,0.0,4.61,1.0,0.5,0.79,1.87,0.37,0.37,0.05,2.21,0.03,1.0,B2,3
7,81.53,8.4,5.6,8.0,7.4,7.17,26.0,8.833333333333334,7.77,8.0,1.2919254658385093,1.45,1.25,1.85,0.5,0.85,0.0,0.25,2.45,0.0,3.3,0.1,0.4,0.7,1.0,0.0,0.55,0.0,1.95,0.0,0.95,B2,3
8,56.55,12.3,9.0,11.42,10.0,8.89,44.0,9.0,9.88,9.0,1.5702127659574467,1.6,0.93,1.53,0.73,0.53,0.0,0.33,1.6,0.0,3.2,0.07,0.27,1.07,2.47,0.0,0.07,0.0,1.93,0.0,0.93,B2,3
9,60.35,11.3,9.6,10.5,11.2,8.64,147.0,8.0,10.07,11.0,1.3457350272232305,2.6037735849056602,1.3,2.62,0.68,0.85,0.0,0.58,1.92,0.08,4.09,0.98,0.7,0.62,2.77,0.0,0.17,0.0,2.28,0.0,1.0,B2,3
10,74.9,10.1,6.1,7.87,6.8,7.65,97.0,5.666666666666667,7.92,8.0,1.1290760869565217,0.7254901960784313,0.88,1.39,0.75,0.78,0.0,0.53,1.29,0.0,2.62,0.14,0.63,1.12,0.88,0.0,0.24,0.0,2.04,0.0,1.0,B2,3
11,67.28,11.9,9.0,8.76,10.5,8.86,67.0,12.2,11.34,9.0,1.3155650319829424,2.3333333333333335,1.14,2.62,0.71,1.57,0.0,0.38,2.14,0.0,3.95,1.57,0.86,1.1,1.95,0.29,0.38,0.0,2.71,0.0,0.95,B2,3
12,63.7,10.8,8.4,10.9,10.1,8.76,153.0,6.5,9.24,9.0,1.2581369248035914,2.0576923076923075,1.19,1.94,0.5,0.88,0.0,0.58,1.38,0.0,3.19,0.44,0.35,0.65,2.88,0.0,0.25,0.02,1.88,0.0,0.98,B2,3
13,72.56,9.6,7.0,9.1,8.6,7.6,40.0,5.888888888888889,8.68,9.0,1.2385057471264367,0.85,1.3,1.45,0.95,1.0,0.0,0.5,1.45,0.0,3.24,0.05,1.2,1.0,1.5,0.1,0.3,0.0,2.2,0.0,1.0,B2,3
14,53.21,12.2,10.3,12.87,12.6,9.63,69.0,10.666666666666666,11.23,13.0,1.2327868852459016,3.25,0.81,2.0,0.44,1.5,0.0,0.38,1.94,0.0,2.18,0.44,0.44,0.56,4.62,0.0,0.31,0.0,2.31,0.0,1.0,B2,3
15,60.75,12.0,9.5,9.86,10.5,7.77,113.0,13.4,10.63,10.0,1.3182926829268293,1.4,1.62,1.5,0.7,1.48,0.0,0.68,1.88,0.0,3.02,0.12,0.88,2.48,1.55,0.0,0.55,0.02,3.02,0.0,1.0,B2,3
16,73.27,10.0,6.7,7.59,7.0,7.81,43.0,8.142857142857142,8.52,7.0,1.3402985074626865,1.1428571428571428,1.1,1.81,0.57,0.86,0.0,0.33,2.05,0.0,3.76,0.52,0.33,0.81,0.95,0.0,0.19,0.0,1.71,0.0,0.95,B2,3
17,70.23,9.9,7.9,8.64,9.1,7.95,42.0,8.333333333333334,9.53,8.0,1.3021806853582554,1.4705882352941178,1.18,1.76,1.06,1.12,0.0,0.47,1.65,0.0,3.59,0.24,0.71,1.76,0.76,0.06,0.41,0.0,3.18,0.0,0.94,B2,3
18,79.3,8.9,6.5,6.96,7.7,8.72,66.0,8.5,8.76,9.0,1.3989266547406083,1.5862068965517242,1.07,2.24,0.66,0.97,0.0,0.45,1.9,0.0,3.66,0.72,0.62,1.59,1.28,0.9,0.31,0.0,1.93,0.03,0.97,B2,3
